rank,cluster_id,question
1,3,개인 저장소 및 블로그 등이 있다면 운영 목적과 함께 서술하여 주십시오. (URL 포함)
2,3,"자기소개 (양식, 분량 자유)"
3,3,동료 또는 주변 사람이 평가하는 본인은 어떤 유형의 사람인지 서술하여 주시기 바랍니다.
4,3,본인 성격의 강/약점에 대해서 실제 사례를 포함하여 작성해 주세요.
5,3,자기소개서 자기 자신에 대해 자유롭게 기술해 주시기 바랍니다.
6,3,"성장과정을 간략히 기술하되 현재 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시오."
7,3,이력서 기재 사항 외 본인을 어필할 수 있는 사항이나 입사 후 성장 계획 등 추가적으로 언급하고 싶은 사항이 있다면 기술해 주십시오. (800자)
8,3,"본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. ("
9,3,한 줄 자기소개 (50자 이내)
10,3,성장과정에서 본인의 인생관에 영향을 끼친 경험과 이유를 소개해 주세요.
11,3,지원자 본인에 대하여 소개해 주세요. (성격/성향/가치관 등을 중심으로)
12,3,"성격의 장단점, 취미활동을 포함하여 자유롭게 자신을 표현해 주세요."
13,3,"BGF의 5가지 가치관 중 본인을 가장 잘 표현하는 가치관 1개를 선택하고, 그 이유를 본인의 경험과 함께 작성해 주세요. (최대 500자 입력 가능)"
14,3,성장과정 및 개인 특성
15,3,"본인 성격의 장단점을 각각 적고, 이와 관련한 사례를 기술하여 주십시오. (700자 이내)"
16,3,"자신의 성장과정, 지원 동기, 장점 및 단점, 취미, 희망 업무 및 포부, 기타 특기사항 등을 자유롭게 서술하시기 바랍니다."
17,3,지금의 나를 있게 한 가장 중요한 사건에 대해 구체적으로 기술해주세요.
18,3,"본인의 성격의 장/단점을 교보생명의 인재상을 참고하여 작성하여 주십시오. (1,000자)"
19,3,삶을 통해 이루고 싶은 인생의 비전 또는 목표 3가지를 우선순위 순으로 적어주십시오. (300자)
20,3,자신이 다른 사람과 구별되는 능력이나 기질을 써주십시오. (300자)
21,3,"살아오면서 자신이 성취한 것 중 자랑할 만한 것을 1, 2가지 소개해 주십시오. (300자)"
22,3,"본인이 남들과 다르게 몰입했거나, 남다른 지식이 있는 영역이 있다면 작성해주세요. (300자)"
23,3,위에서 표현되지 못한 자기소개를 간단하게 적어 주십시오. (1600자)
24,3,군복무기간 중 생활 대해서 적어 주십시오 . (500자)
25,3,학군단에서 배우고 얻은 것을 적어 주십시오 (학군장교만 해당) (500자)
26,3,(선택문항) 이외에 본인을 어필하고 싶은 내용을 자유롭게 서술해주세요. [250~500자]
27,3,자신이 어떤 사람인지를 하나의 '단어'로 어떻게 표현할 수 있는지 구체적인 사례를 들어 말씀해 주세요.
28,3,"본인의 장점과 단점을 기술해 주시고, 단점을 극복하기 위한 노력을 말씀해 주십시오.(600자)"
29,3,성장과정(학교생활)
