rank,cluster_id,question
1,0,우리 회사에 지원하는 이유와 해당 직무에 지원하는 이유에 대해 각각 서술하여 주십시오.
2,0,"당사에 입사지원하신 이유와 지원한 분야를 희망하는 이유, 그리고 면접관이 꼭 알아주셨으면 하는 점을 기재해 주세요."
3,0,현대오토에버의 해당 직무에 지원한 이유와 앞으로 현대오토에버에서 키워 나갈 커리어 계획을 작성해 주시기 바랍니다.
4,0,당사 지원 동기와 입사 후 포부를 기술하여 주십시오.
5,0,본인이 회사를 선택하는 기준을 바탕으로 우리 회사를 선택한 이유를 작성해 주세요.
6,0,본인이 지원한 직무에서 입사 후 어떠한 업무를 하고 싶은지 작성해 주세요.
7,0,지원 동기 및 회사에서 이루고 싶은 꿈을 기술하시오.
8,0,"새마을금고에 지원한 동기와 새마을금고가 지원자를 채용해야 하는 이유를 본인의 역량, 강점, 경험 등 사례를 들어 작성해 주십시오"
9,0,동양생명에 지원하게 된 동기와 본인의 강점을 기술해 주십시오. (800자 이내)
10,0,KT 및 해당 직무에 지원한 동기와 KT 입사 후 해당 직무의 전문가로 성장하기 위해 어떠한 노력을 할지 구체적으로 기술해 주십시오. (최대 500자 입력 가능)
11,0,삼성카드를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오. 700자 이내 (영문 작성 시 1400자)
12,0,[지원동기] 인천교통공사 청년인턴으로 지원하게 된 동기에 대하여 기술해 주십시오.
13,0,"회사와 직업을 선택하는 본인만의 기준 2가지를 적고, 그 이유와 함께 한국은행에 지원한 동기를 기술하시오."
14,0,시공사를 선택하게 된 배경과 계룡건설에 입사하기 위해 노력한 점을 기술해 주세요. (1500바이트 이내)
15,0,우리 공단 체험형 인턴에 지원하게 된 동기 및 공단 근무를 통해 성장시켜나가고 싶은 역량이 무엇인지 서술하여 주십시오.
16,0,콜마그룹의 콜마비앤에이치에 지원을 결심하시게 된 동기나 배경은 무엇인가요?
17,0,E1이라는 회사와 지원한 직무를 선택한 이유를 설명해 주세요.
18,0,"직장을 선택하는 본인만의 기준을 적고, 그 이유와 함께 SGI서울보증에 지원한 동기를 기술하여 주시기 바랍니다."
19,0,마켓컬리 지원 동기 및 본인의 경력 목표에 대해 기술하시오.
20,0,kt ds 및 해당 직무에 지원한 동기와 입사 후 해당 직무의 전문가로 성장하기 위해 어떠한 노력을 할지 구체적으로 기술해 주십시오.
21,0,"본인의 가치관(또는 인생관)을 간단히 소개하고, 이와 관련하여 한국증권금융에 지원하게 된 동기를 서술하시오. 465 / 500 자"
22,0,삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.
23,0,LG CNS에 지원한 동기와 입사 이후 꿈꾸는 것은 무엇인가요?
24,0,"LG CNS에 입사한다면, 어떤 조직이나 분야에서 근무하고 싶나요?"
25,0,"귀하가 한국동서발전에 지원하게 된 계기를 아래 (가), (나)의 내용에 맞춰 기술해 주시기 바랍니다. (가) 당사의 인재상과 본인이 얼마나 부합하는지를 기술 (나) 당사가 추진하는 주요 사업 중 가장 관심이 있는 분야와 본인이 어떤 부분에서 기여할 수 있을지를 구체적으로 기술"
26,0,"""LG전자""에 대한 지원 동기에 대하여 구체적으로 기술하여 주십시오."
27,0,본인이 지원한 직무관련 향후 계획에 대하여 -본인이 지원한 직무와 관련된 본인의 향후 미래 계획에 대해 구체적으로 기술해 주시기 바랍니다.
28,0,영업 직무에 도전하는 이유와 한샘 SC 직무에 지원한 동기를 작성해 주세요.
29,0,한샘 입사 후 3년 내 이루고 싶은 목표를 작성해 주세요.
30,0,삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오. (700자 (영문 작성 시 1400자) 이내)
31,0,일룸 직영적 영업전문직에 지원하게 된 동기 및 입사 후 목표에 대해 기술하여 주십시오. (700자 이내)
32,0,당사에 지원한 동기와 입사 후 회사에서 이루고 싶은 꿈을 기술해 주십시오. 700자
33,0,AJ에 지원하게 된 계기와 동기를 설명하고 지원한 직무를 성공적으로 수행할 수 있다고 생각하는 이유를 서술하여 주십시오. [300~800자 이내]
34,0,"향후 AJ 에서 어떤 구성원이 될 것이며, AJ 에서 이루고자 하는 목표를 구체적으로 서술하여 주십시오. [300~800자 이내]"
35,0,오리온에 지원한 사유와 회사에서 이루고 싶은 목표에 대해서 구체적으로 기술해 주시기 바랍니다.
36,0,직업 선택할 때 가장 중요하게 생각하는 기준은 무엇이며 근로복지공단을 지원한 동기와 결부시켜 기술해 주십시오. (500자)
37,0,"생명보험이란 무엇이라고 생각하는 지와 교보생명에 지원한 동기에 대하여 작성하여 주십시오. (1,000자)"
38,0,회사를 선택함에 있어 가장 중요하게 생각하는 기준과 그 기준을 바탕으로 세방(주)에 지원한 동기를 기술해주세요.
39,0,"당사에서 추진해야 할 사업방향에 대해 제안하고, 이에 기여할 수 있는 지원자님의 강점에 대해 기술해주세요."
40,0,입사 후 회사생활의 목표와 그 목표를 추구하는 이유를 기술해주세요.
41,0,"본인이 선택한 직무를 담당하고 싶은 이유, 적합성 등에 대해 자유롭게 설명해 보십시오."
42,0,SIMPAC을 선택한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.
43,0,"우리 공사에 지원한 동기를 기술하고, 지원자의 직장 선택 기준 및 공사가 해당 기준에 어떻게 부합하는지에 대해 작성하여 주십시오."
44,0,자신에게 있어서 직장생활의 의미를 써 주십시오. (500자)
45,0,지원동기를 구체적으로 적어 주십시오. (500자)
46,0,(지원동기) 왜 디캠프 입사 지원을 결심하셨나요? (최대 500자 입력가능)
47,0,(입사 후 포부) 디캠프에 입사하면 무엇을 하고 싶으세요? (최대 500자 입력가능)
48,0,하나투어에 지원한 이유는 무엇인가요? 지원자가 생각하는 하나투어의 강점과 지원 직무를 수행하고 싶은 이유를 포함하여 구체적으로 설명해주세요. (800자)
49,0,자신이 현대로템 및 지원 직무에 적합한 인재라고 생각하는 이유에 대해 말씀해 주세요.
50,0,"[신입]의 경우 '입사 후 본인이 보유한 경험 활용 계획과 포부'를, [경력]의 경우 '입사 후 본인이 보유한 경력사항 활용 계획'을 작성해 주세요."
51,0,지원동기 및 향후 포부
52,0,"우리 회사에 지원하게 된 동기는 무엇이며, 입사 후 어떻게 성장해 나갈 것인지 기술하십시오."
53,0,"본인의 목표, 준비과정"
54,0,지원동기 및 입사포부
55,0,직무에 지원한 이유
56,0,지원직무에 대한 자신의 목표와 구체적인 실행계획을 기술하여 주십시오. 지원 직무에 대한 목표와 해당 목표를 설정한 이유와 설정한 목표를 이루기 위한 현실적이며 구체적인 계획에 대해 기술하여 주십시오.
57,0,지원동기 및 입사 후 포부
58,0,유니드에 지원하게 된 동기에 대해 기술하시오.
59,0,해당 직무에 지원하신 이유를 작성해주세요. [500자 내외]
60,0,나의 KOLON (회사 및 직무 지원 동기)
61,0,SPC GFS 입사후 경력 비전과 개발계획을기술하여 주십시오.(최대 500자 입력가능)
62,0,"동화에 관심을 갖고 지원한 동기를 설명하고, 지원직무를 맡아 어떻게 성장하고 싶은지 작성해주시기 바랍니다."
63,0,금호타이어에 지원한 동기와 금호타이어가 본인을 선발해야 하는 이유를 설명해주세요.
64,0,지원직무에 대한 지원 동기와 해당 직무를 위해 어떤 준비를 해왔는지 소개해주세요.
65,0,입사 후 성취하고 싶은 목표와 이를 달성하기 위한 실행계획을 기술해주세요.
66,0,본인이 지원하는 직무에 적합하다고 생각하는 이유를 구체적으로 서술하여 주시기 바랍니다.
67,0,지원하는 회사와 분야(직무)에 대한 지원동기를 자유롭게 기술하세요.
68,0,포스코 생산기술직에 지원하게 된 동기와 입사 후 달성하고자 하는 목표에 대해 기입해 주십시오.
69,0,지원한 동기를 기술하시오. (500자 내외)
70,0,재단 입사 후 달성하고자 하는 성과를 기술하시오. (500자 내외)
71,0,우리은행에 지원하게 된 동기와 입행 후 이루고 싶은 목표를 구체적으로 작성해 주세요
72,0,강원랜드에 지원한 동기와 희망 지원 분야를 선택한 이유를 입사 후 이루고자 하는 목표 및 포부와 함께 구체적으로 작성해 주십시오.
73,0,지원동기 및 장래계획
74,0,"본인이 생각하는 건설근로자공제회의 역할과 책임은 무엇인지 기술하고, 직원이 되었을 때 본인이 어떻게 기여할 수 있는지 지원동기와 입사 후 목표를 중심으로 기술해 주십시오. (500자 이내)"
75,0,SGI서울보증에 지원한 동기와 입사 후 달성하고자 하는 목표에 대하여 기술하여 주시기 바랍니다.
76,0,한국장학재단에 입사 지원을 해야겠다고 결심하게 된 계기는 무엇인지 구체적으로 기술해 주십시오.
77,0,공사 입사 후 본인이 희망하는 업무와 그 업무를 어떻게 수행할 것인지에 대해 공사 인재상과 연계하여 구체적으로 기술해 주십시오.
78,0,지원 분야를 선택한 이유에 대하여 기술해 주십시오
79,0,[지원동기] 서울주택도시공사에 지원하게 된 동기는 무엇인지 기술해 주십시오. ① 다른 기관이 아닌 서울주택도시공사/해당직무를 지원한 이유는 무엇입니까? ② 귀하의 강점이나 역량 중에서 어떤 것이 향후 서울주택도시공사 발전에 기여할 수 있다고 생각하십니까?
80,0,한국마사회에 입사 후 가장 수행하고 싶은 일을 이유와 함께 기술하고 이 일을 통해 주변으로부터 어떤 평가를 받는 직원이 되고 싶은지 기술하여 주십시오.
81,0,지원동기 : 지원동기를 구체적으로 기술해 주세요.
82,0,입사 후 포부 : 입사 후 10년 동안의 회사 생활 시나리오와 그것을 추구하는 이유를 기술해 주세요.
83,0,한국원자력연구원 입원 이후 이루고자 하는 자기성장 및 연구원에 대한 기여 목표가 무엇인지 기술하고 이러한 목표를 이루기 위해 어떠한 노력을 기울일 것인지 기술하십시오.?(최대 600자 입력가능)
84,0,입사 후 아성다이소 내에서 이루고 싶은 최종목표는 무엇입니까? 그리고 목표달성을 위한 실천계획을 구체적으로 설명해 주시기 바랍니다. (800자 이내)
85,0,지원동기와 지원직무에 적합하다고 생각하는 이유
86,0,"[지원동기/성장] 본인이 회사를 선택할 때의 기준은 무엇이며, 왜 당사가 그 기준에 적합한가요? 그리고 5년 후의 본인은 어떤 모습일지 구체적으로 그려보세요."
87,0,공사 입사 후 본인의 비전과 목표는 무엇이며 그것을 이루기 위한 자신만의 계획에 대하여 구체적으로 기술하시오.
88,0,이랜드이츠 지원동기를 구체적으로 적어 주십시오.
89,0,자신에게 있어 직장생활의 의미를 적어주십시오.
90,0,자신에게 있어서 직장생활의 의미를 써주십시오.
91,0,지원동기를 구체적으로 적어 주십시오.
92,0,"해당 직무에 지원한 동기와 해당 직무에 본인이 적합한 이유 및 근거를 본인의 경험, 전공 등과 연계하여 서술하여 주십시오(600자)"
93,0,넥센타이어에 지원하게 된 이유와 준비과정을 서술해주세요. 500자
94,0,넥센타이어에 입사한다면 이루고자 하는 목표를 서술해주세요. 500자
95,0,"지원 회사가 현재 하고 있는 사업영역에서 어떠한 성장 비전을 가질 수 있는 지, 또는 새롭게 진출해야 할 사업분야가 있다면 어떠한 분야인지에 대한 지원자의 의견을 서술해 주십시오. (600자)"
96,0,지원 직무를 희망하게 된 동기를 구체적으로 서술해 주십시오.
97,0,지원동기를 구체적으로 기술해주세요
98,0,해당회사 및 직무에 지원하는 동기에 대해 기술해 주시기 바랍니다.
99,0,당사에 지원하게 된 동기와 입사 후 본인의 포부를 구체적으로 작성하십시오.
100,0,"에스엘에서 일하고 싶은 구체적인 분야(직무)를 제시하고, 해당 직무에 관심을 가지게 된 계기와 이를 잘 수행할 수 있다고 생각하는 이유를 구체적으로 서술해 주십시오 (1000자)"
101,0,삼성전자에 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오(700자)
102,0,KG동부제철 지원동기를 구체적으로 기술하여 주십시오(600자)
103,0,입사 후 인턴 근무에 대한 계획과 KG동부제철에서의 성장 목표를 기술하여 주십시오(600자)
104,0,"귀하가 한국동서발전에 지원하게된 계기를 아래 (가), (나)의 내용에 맞춰 기술해 주시기 바랍니다. (가) 당사의 인재상과 본인이 얼마나 부합하는지를 기술 (나) 당사가 추진하는 주요 사업 중 가장 관심이 있는 분야와 본인이 어떤 부분에서 기여할 수 있을지를 구체적으로 기술"
