rank,cluster_id,question
1,5,금융결제원 지원 동기
2,5,금융결제원이 제공하는 서비스를 이용해 본 경험과 느낀 점을 기술하시오.
3,5,"티웨이항공을 선택한 이유는 무엇이며, 티웨이항공이 더 성장하기 위해 갖추어야 할 요소가 무엇인지 서술하여 주시기 바랍니다."
4,5,현대백화점그룹이 지향하는 4가지 실천 가치(열정/소통/창의/파트너십 중 택 1)와 부합하는 본인의 강점과 경험을 기술하여 주십시오.
5,5,존경하는 인물과 이유
6,5,최근 사회 이슈 중 중요하다고 생각되는 한 가지를 선택하여 이에 관한 자신의 견해를 기술하시오.
7,5,최근 사회 이슈 중 중요하다고 생각되는 한 가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다. 1000자 이내 (영문 작성 시 2000자)
8,5,"본인이 오랜 기간 꾸준히 지켜온 신념은 무엇이며, 그러한 신념을 가지게 된 이유는 무엇인지, 신념을 지키기 위해 어떠한 노력을 해왔으며, 입사 후에는 어떻게 지켜나갈 계획인지 기술해 주십시오."
9,5,"자신이 가장 중요하다고 생각하는 가치는 무엇이며, 그렇게 생각하는 이유에 대해 기술하시오."
10,5,"본인이 가장 관심을 가지고 있는 경제 이슈를 하나 제시하고, 해당 이슈와 관련하여 한국은행이 중앙은행으로서 어떻게 기여할 수 있을지에 대해 기술하시오."
11,5,"금융·IT 산업 동향, 금융보안원의 기관 특성 및 현재 수행 중인 업무 분야를 고려할 때, 향후 금융보안원이 가장 집중적으로 추진해야 할 사업에 대한 본인의 견해를 자유롭게 기술하여 주십시오."
12,5,사회활동 모음 - 1. 동아리활동 (필수 작성 아님) (1993바이트)
13,5,KT의 핵심가치 중 자신에게 가장 부합하는 것을 선택하고 그 이유를 구체적인 사례와 함께 기술해 주십시오. (800자 이내)
14,5,"본인이 알고 있는 한국공항공사에 관한 내용은 무엇이며, 그 정보를 어떻게 얻게 되었는지 기술해 주시기 바랍니다. 또한 그중 어떠한 면에 이끌려 우리 공사에 지원하게 되었는지 기술해 주시기 바랍니다."
15,5,"우리 공단의 사업 중 본인이 가장 관심을 가지고 있는 분야는 무엇이며, 그 이유는 무엇인지 서술하여 주십시오."
16,5,공공기관 근무자로서 가장 중시되어야 하는 직업윤리는 무엇이라 생각하는지 서술하여 주십시오.
17,5,본인이 생각하는 이상적인 직장 생활과 조직 문화를 상상하여 적어주세요.
18,5,Why Celltrion?
19,5,국내외 금융사들은 '비대면 금융소비 일상화'에 대응해 Digital Transformation(디지털 전환)에 속도를 내고 있습니다. 이와 같은 경영 환경에서 SGI서울보증이 추구해야 할 방향 또는 대응 방안을 기술하여 주시기 바랍니다.
20,5,고객으로서 마켓컬리를 사용해 본 적이 있습니까? (있다면) 마켓컬리 서비스의 장점과 개선점에 대해 자유롭게 의견을 써주시기 바랍니다.
21,5,"한국증권금융의 핵심가치* 중 가장 중요하다고 생각하는 가치와 그 이유를 밝히고, 본인이 해당 가치 제고를 위해 기여할 수 있는 방안을 구체적으로 제시하시오. * 균형성, 전문성, 동반성장, 고객 신뢰, 지속가능성 697 / 700 자"
22,5,최근 사회 이슈 중 중요하다고 생각되는 한 가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다.
23,5,"귀하가 생각하는 한국동서발전의 미래 성장성에 대해 (가), (나)에 맞춰 기술해 주시기 바랍니다. (가) 한국동서발전이 미래사업을 선도하기 위한 기술 또는 발전방향을 기술 (나) (가)를 실현하는 데 도움이 되는 본인의 기술 또는 전문성에 대해 기술"
24,5,BGF가 생각하는 '좋은 친구'는 '언제 어디서나 최상의 상품과 서비스를 제공하여 고객 가치를 실현하고 사회 발전에 공헌하는 기업'입니다. 고객과 사회의 '좋은 친구'인 BGF리테일에 지원하게 된 동기에 대해 기술해 주세요. (최대 500자 입력 가능)
25,5,"평소 CU 편의점 이용 시 느낀 장단점을 기술하고, CU 편의점의 경쟁력을 제고할 수 있는 아이디어를 설명해 주세요. 가능하다면 지원한 직무와 연계하여 적어주시고, 어려운 경우 고객 입장에서 설명해 주세요. (최대 700자 입력 가능)"
26,5,최근 사회이슈 중 중요하다고 생각되는 한가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다. (1000자 (영문작성 시 2000자) 이내)
27,5,최근 사회이슈 중 중요하다고 생각되는 한가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다.
28,5,"AJ에는 여섯 가지의 핵심가치가 있습니다 . 당사의 핵심가치 중 당신을 가장 잘 표현할 수 있는 한 가지를 본인의 성격 그리고 경험을 바탕으로 기술해 주십시오. [400~1,000자 이내]"
29,5,본원의 핵심가치 중 자신과 가장 부합하다고 생각하는 가치를 선택하여 그 이유를 경험을 토대로 서술하시기 바랍니다.
