rank,cluster_id,question,noun_form
1,4,금융결제원이 제공하는 서비스를 이용해 본 경험과 느낀 점을 기술하시오.,금융결제원 제공 서비스 이용해 경험 느낀 기술하
2,4,"조직(예 : 학교, 동아리, 가족 등)의 구성원으로서 갈등이 있었던 상황을 설명하고, 원인, 대처방안, 현재 시점에서의 판단을 구체적으로 기술하시오.",조직 구성원으로서 갈등 있었던 상황 설명 원인 대처방안 현재 시점에서 판단 구체적 기술하
3,4,현대백화점그룹이 지향하는 4가지 실천 가치(열정/소통/창의/파트너십 중 택 1)와 부합하는 본인의 강점과 경험을 기술하여 주십시오.,현대백화점그룹 지향 4가지 실천 가치 부합 본인 강점 경험 기술
4,4,기존과 다른 새로운 변화를 시도했던 경험과 그를 통해 배운 점이 무엇인지 기술하여 주십시오.,기존 다른 새로운 변화 시도했던 경험 배운 무엇인지 기술
5,4,"협업을 하는 과정에서 구성원 간 갈등 상황 등 어려웠던 사례를 기술하고, 이를 해결하기 위한 노력과 그런 경험에서 무엇을 느꼈는지 작성해 주십시오.",협업 과정 구성원 갈등 상황 어려웠던 사례 기술 해결하기 노력 그런 경험 무엇 느꼈는지 작성해
6,4,포기하지 않고 끈기 있게 노력하여 목표를 달성했던 사례 또는 탁월한 성과를 달성한 사례에 대해 구체적으로 작성해 주십시오.,포기 끈기 있게 노력 목표 달성했던 사례 탁월한 성과 달성한 사례 대해 구체적 작성해
7,4,[조직 이해] 조직에서 추구하는 방향이나 궁극적인 목표 등을 공유함으로써 팀원들과 공동의 목표로 일을 추진한 경험이 있습니까? 당시 지원자가 취한 행동과 그 결과를 중심으로 기술해 주십시오.,조직 이해 조직 추구 방향 궁극적인 목표 공유함으로써 팀원들 공동 목표 추진한 경험 있습니까 당시 지원자 취한 행동 결과 중심 기술해
8,4,[업무추진계획] 한 번에 여러 목표를 달성하기 위해 세웠던 계획 방법에 대해 기술하고 어떤 결과를 도출하였는지 기술해 주십시오.,업무추진계획 여러 목표 달성하기 세웠던 계획 방법 대해 기술 어떤 결과 도출하였는지 기술해
9,4,"새로운 조직, 단체에서 빠르게 적응하기 위해 노력한 경험은 무엇이며, 빠르게 적응할 수 있는 본인만의 효과적인 방법은 무엇인지 기술해 주십시오.",새로운 조직 단체 빠르게 적응하기 노력한 경험 무엇 빠르게 적응할 본인만 효과적인 방법 무엇인지 기술해
10,4,"본인의 한계를 인식하고 이를 극복하기 위해 노력한 경험은 무엇이며, 해당 경험을 통해 깨달은 점은 무엇인지 기술해 주십시오.",본인 한계 인식 극복하기 노력한 경험 무엇 해당 경험 깨달 무엇인지 기술해
11,4,"본인의 성격을 간단히 소개하고 그러한 성격을 적극적으로 활용 또는 극복하여 다른 사람들과 협업했던 경험(프로젝트, 업무 등)을 기술하여 주십시오. 또한 성공적인 협업을 위해서 가장 중요한 조건과 그 이유에 대한 본인의 의견을 기술하여 주십시오.",본인 성격 간단히 소개 그러한 성격 적극적 활용 극복 다른 사람들 협업했던 경험 기술 또한 성공적인 협업 가장 중요한 조건 이유 본인 의견 기술
12,4,본인의 의지로 기존의 방식을 개선 및 변경했던 경험과 그 결과를 기술하여 주시고 그러한 경험을 통해 깨달은 점을 기술하여 주십시오.,본인 의지 기존 방식 개선 변경했던 경험 결과 기술 주시고 그러한 경험 깨달 기술
13,4,학교생활 혹은 사회생활 중 발생한 문제 상황에서 적극적으로 의견 제시를 하여 문제를 해결한 경험이 있다면 작성해 주십시오. (350~500자 이내),학교생활 사회생활 발생한 문제 상황 적극적 의견 제시 문제 해결한 경험 있다면 작성해
14,4,본인만의 노하우 혹은 아이디어를 통해 좋은 결과를 이끌어낸 경험이 있다면 기술해 주십시오. (350~500자 이내),본인만 노하우 아이디어 결과 이끌어낸 경험 있다면 기술해
15,4,윤리 및 도덕적 가치에 어긋나지 않기 위해 본인의 희생을 감수하며 과제를 수행한 경험에 대해 작성해 주십시오. (350~500자 이내),윤리 도덕적 가치 어긋나지 않기 본인 희생 감수 과제 수행한 경험 대해 작성해
16,4,본인의 경험 중에 구성원과 협력을 통해 문제를 해결했던 경험과 자신과 반대되는 타인의 의견을 수용했던 경험을 말씀해 주세요. (1500바이트 이내),본인 경험 구성원 협력 문제 해결했던 경험 자신 반대되 타인 의견 수용했던 경험 말씀해
17,4,"다른 사람들과 함께 일을 했던 경험에 대해 설명하고, 그 경험 속에서 팀워크 형성과 협업을 이루기 위해 어떠한 노력을 하였는지 서술해 주십시오. (대인관계 능력) (500자 이내)",다른 사람들 했던 경험 대해 설명 경험 팀워크 형성 협업 이루기 어떠한 노력 하였는지 서술해
18,4,"중요한 일을 처리할 때, 어떠한 방식으로 계획을 세워서 일을 처리하는지에 대해 개인적 경험을 기반으로 서술해 주십시오. (자원관리능력) (500자 이내)",중요한 처리할 어떠한 방식 계획 세워서 처리하는지 대해 개인적 경험 기반 서술해
19,4,주어진 과제나 업무를 위해 필요한 기술을 배우고 이를 적절히 활용하여 성공적으로 완수할 수 있었던 경험에 대해 구체적으로 기술해 주십시오. (500자 이내),주어진 과제 업무 필요한 기술 배우고 적절히 활용 성공적 완수할 있었던 경험 대해 구체적 기술해
20,4,본인이 관심 있는 분야에 대해 알기 위해 지식이나 정보를 수집하고 분석하는 등의 노력을 기울였던 경험을 기술해 주십시오. (500자 이내),본인 관심 분야 대해 알기 지식 정보 수집 분석 노력 기울였던 경험 기술해
21,4,다양한 활동을 하면서 불편함을 감수하고 정해진 원칙·규칙을 철저히 지켰던 경험에 대해 기술해 주십시오. (500자 이내),다양한 활동 하면서 불편함 감수 정해진 원칙규칙 철저히 지켰던 경험 대해 기술해
22,4,"조직(회사, 학회, 동아리, 프로젝트 등)에서 시간과 일정을 효율적으로 관리하여 주어진 업무나 과제를 효과적으로 해결했던 경험을 기술해 주십시오. (500자 이내)",조직 시간 일정 효율적 관리 주어진 업무 과제 효과적 해결했던 경험 기술해
23,4,"정직, 남을 위한 봉사, 규칙 준수 등 윤리적인 행동으로 좋은 결과를 얻었던 경험을 아래 세부 항목에 따라 구체적으로 작성해 주십시오.",정직 봉사 규칙 준수 윤리적인 행동 결과 얻었던 경험 아래 세부 항목 따라 구체적 작성해
24,4,"집단(학교, 회사, 동아리, 동호회 등)의 원만한 화합, 또는 공동의 목표 달성을 위해 남들보다 더 많이 노력하고 헌신했던 경험을 아래 세부 항목에 따라 구체적으로 작성해 주십시오.",집단 원만한 화합 공동 목표 달성 남들 노력 헌신했던 경험 아래 세부 항목 따라 구체적 작성해
25,4,"단체(학교, 회사, 동아리, 동호회 등)에서 대화나 토론을 통해 상호 입장과 상황을 정확히 이해함으로써 건설적으로 문제를 해결해 본 경험에 대해 아래 세부 항목에 따라 작성해 주십시오.",단체 대화 토론 상호 입장 상황 정확히 이해함으로써 건설적 문제 해결해 경험 대해 아래 세부 항목 따라 작성해
26,4,"집단(학교, 회사, 동아리, 동호회 등)에서 기존보다 더 나은 성과를 창출하기 위해 적극적으로 새로운 방법을 시도하고 성과를 낸 경험에 대해 작성해 주십시오.",집단 기존 성과 창출하기 적극적 새로운 방법 시도 성과 경험 대해 작성해
27,4,"집단(학교, 회사, 동아리, 동호회 등)에서 집단 내 구성원들의 입장 차이를 이해하고, 이를 중재하기 위해 노력하여 건설적으로 해결한 경험에 대해 작성해 주십시오.",집단 집단 구성원들 입장 차이 이해 중재하기 노력 건설적 해결한 경험 대해 작성해
28,4,"지역사회참여, 사회봉사, 공공활동 등 사회 공공의 가치 실현을 위해 활동했던 경험을 구체적으로 작성해 주십시오.",지역사회참여 사회봉사 공공활동 사회 공공 가치 실현 활동했던 경험 구체적 작성해
29,4,지금까지 경험한 것 중에서 자신의 영향력으로 주어진 상황을 달라지게 한 경험과 그 일의 결과에 대해서 서술하여 주십시오.,지금 경험한 자신 영향력 주어진 상황 달라지게 경험 결과 서술
30,4,콜마그룹 인재상 4성 5행 중 각 1개씩 선택하여 선택한 가치를 발휘했던 경험을 구체적으로 기술해 주세요.,콜마그룹 인재상 4성 5행 1개씩 선택 선택한 가치 발휘했던 경험 구체적 기술해
31,4,"*[의사소통 능력] 지원자의 메시지 전달 능력, 타인 메시지 이해 능력을 활용하여 상호 간 만족스러운 의사소통을 진행했던 경험에 대해 작성해 주십시오.",의사소통 능력 지원자 메시지 전달 능력 타인 메시지 이해 능력 활용 상호 만족스러운 의사소통 진행했던 경험 대해 작성해
32,4,다양한 환경 변화에 적응한 경험과 다른 사람의 신뢰를 얻은 경험을 서술해 주세요.,다양한 환경 변화 적응한 경험 다른 사람 신뢰 경험 서술해
33,4,입사지원 분야와 관련한 본인의 경험을 기술하시오.,입사지원 분야 관련한 본인 경험 기술하
34,4,"본인이 속한 집단 내에서 의견 충돌이나 갈등 경험을 소개하고, 해결 과정에 대해 기술하시오.",본인 속한 집단 의견 충돌 갈등 경험 소개 해결 과정 대해 기술하
35,4,"공동의 목표 달성을 위한 협업 경험을 본인이 수행한 역할 중심으로 설명하고, 그 경험을 통해 무엇을 얻었는지 기술해 주십시오.",공동 목표 달성 협업 경험 본인 수행한 역할 중심 설명 경험 무엇 얻었는지 기술해
36,4,"본인이 성공적으로 수행한 프로젝트의 성공 요인이 무엇인지, 어려움을 극복하기 위해 어떤 방법을 사용했는지 기술해 주세요.",본인 성공적 수행한 프로젝트 성공 요인 무엇인지 어려움 극복하기 어떤 방법 사용했는지 기술해
37,4,학교 정규 과정 이외에 개발 참여 경험이 있다면 소개해 주세요.,학교 정규 과정 이외 개발 참여 경험 있다면 소개해
38,4,도전적인 목표에 도전한 경험(성공 혹은 실패)을 통해 무엇을 얻었는지 작성해 주세요.,도전적인 목표 도전한 경험 무엇 얻었는지 작성해
39,4,공동의 목표 달성을 위한 협업 경험을 본인이 수행한 역할 중심으로 기술해 주십시오. 700자,공동 목표 달성 협업 경험 본인 수행한 역할 중심 기술해 700자
40,4,실패에 대한 두려움을 극복하고 새로운 일에 도전하여 깨달음을 얻은 경험에 대해 기술해 주십시오.,실패 두려움 극복 새로운 도전 깨달음 경험 대해 기술해
41,4,"가치관이 다른 구성원들과 협업했던 과정에서 본인의 역할은 무엇이었는지, 그 경험을 통해 어떤 역량이 향상되었는지 기술해 주십시오.",가치관 다른 구성원들 협업했던 과정 본인 역할 무엇이었는지 경험 어떤 역량 향상되었는지 기술해
42,4,다른 사람과 열정을 가지고 도전했던 경험과 이를 통해 얻은 성과나 결과를 구체적으로 기술해주시기 바랍니다.,다른 사람 열정 가지고 도전했던 경험 성과 결과 구체적 기술해주시기 바랍니다
43,4,다른 사람과 함께 목표를 달성하기 위해 노력했던 경험과 본인의 역할에 대해 구체적으로 기술해주시기 바랍니다.,다른 사람 목표 달성하기 노력했던 경험 본인 역할 대해 구체적 기술해주시기 바랍니다
